text,theme,intent,template,substitutions
Мәскәүдә кибетне тап.,navigation_maps,find_place,{city:loc} {place_type:acc} тап,"[{""slot"": ""city"", ""base"": ""Мәскәү"", ""form"": ""loc"", ""rendered"": ""Мәскәүдә""}, {""slot"": ""place_type"", ""base"": ""кибет"", ""form"": ""acc"", ""rendered"": ""кибетне""}]"
Югары Чыгтайда хастаханәне тап.,web_search,search_local,{village:loc} {place_type:acc} тап,"[{""slot"": ""village"", ""base"": ""Югары Чыгтай"", ""form"": ""loc"", ""rendered"": ""Югары Чыгтайда""}, {""slot"": ""place_type"", ""base"": ""хастаханә"", ""form"": ""acc"", ""rendered"": ""хастаханәне""}]"
Татар Әйшәсендә кибетне тап.,web_search,search_local,{village:loc} {place_type:acc} тап,"[{""slot"": ""village"", ""base"": ""Татар Әйшәсе"", ""form"": ""loc"", ""rendered"": ""Татар Әйшәсендә""}, {""slot"": ""place_type"", ""base"": ""кибет"", ""form"": ""acc"", ""rendered"": ""кибетне""}]"
Атнаның кайсы көне?,weather_time_news,date_query,атнаның кайсы көне,[]
Көектә даруханәне тап.,navigation_maps,find_place,{village:loc} {place_type:acc} тап,"[{""slot"": ""village"", ""base"": ""Көек"", ""form"": ""loc"", ""rendered"": ""Көектә""}, {""slot"": ""place_type"", ""base"": ""даруханә"", ""form"": ""acc"", ""rendered"": ""даруханәне""}]"
Соңгы яңалыкларны әйт.,weather_time_news,news_query,соңгы яңалыкларны әйт,[]
Түбән Камада даруханәне тап.,web_search,search_local,{city:loc} {place_type:acc} тап,"[{""slot"": ""city"", ""base"": ""Түбән Кама"", ""form"": ""loc"", ""rendered"": ""Түбән Камада""}, {""slot"": ""place_type"", ""base"": ""даруханә"", ""form"": ""acc"", ""rendered"": ""даруханәне""}]"
Иске Дөрештә кибетне тап.,navigation_maps,find_place,{village:loc} {place_type:acc} тап,"[{""slot"": ""village"", ""base"": ""Иске Дөреш"", ""form"": ""loc"", ""rendered"": ""Иске Дөрештә""}, {""slot"": ""place_type"", ""base"": ""кибет"", ""form"": ""acc"", ""rendered"": ""кибетне""}]"
Уфада һава торышы нинди?,weather_time_news,weather,{city:loc} һава торышы нинди,"[{""slot"": ""city"", ""base"": ""Уфа"", ""form"": ""loc"", ""rendered"": ""Уфада""}]"
Планшет белән телефон чагыштыр.,web_search,compare,{product} белән {product} чагыштыр,"[{""slot"": ""product"", ""base"": ""планшет"", ""form"": ""nom"", ""rendered"": ""планшет""}, {""slot"": ""product"", ""base"": ""телефон"", ""form"": ""nom"", ""rendered"": ""телефон""}]"
Мәскәүдә аэропорт кайда?,navigation_maps,find_place,{city:loc} {landmark} кайда,"[{""slot"": ""city"", ""base"": ""Мәскәү"", ""form"": ""loc"", ""rendered"": ""Мәскәүдә""}, {""slot"": ""landmark"", ""base"": ""аэропорт"", ""form"": ""nom"", ""rendered"": ""аэропорт""}]"
Ташчишмәдә һава торышы нинди?,weather_time_news,weather,{village:loc} һава торышы нинди,"[{""slot"": ""village"", ""base"": ""Ташчишмә"", ""form"": ""loc"", ""rendered"": ""Ташчишмәдә""}]"
Татар Әйшәсендә банкны тап.,navigation_maps,find_place,{village:loc} {place_type:acc} тап,"[{""slot"": ""village"", ""base"": ""Татар Әйшәсе"", ""form"": ""loc"", ""rendered"": ""Татар Әйшәсендә""}, {""slot"": ""place_type"", ""base"": ""банк"", ""form"": ""acc"", ""rendered"": ""банкны""}]"
Уфада кунакханәне тап.,web_search,search_local,{city:loc} {place_type:acc} тап,"[{""slot"": ""city"", ""base"": ""Уфа"", ""form"": ""loc"", ""rendered"": ""Уфада""}, {""slot"": ""place_type"", ""base"": ""кунакханә"", ""form"": ""acc"", ""rendered"": ""кунакханәне""}]"
Тулбайда һава торышы нинди?,weather_time_news,weather,{village:loc} һава торышы нинди,"[{""slot"": ""village"", ""base"": ""Тулбай"", ""form"": ""loc"", ""rendered"": ""Тулбайда""}]"
